id,hash,case_id,network,block,timestamp,from_address,to_address,amount,token,value_inr,kind,hop,inferred
0x328126f096f130b7b7f4871470449b70a523fada27b665b48328fceeb5137293,0x328126f096f130b7b7f4871470449b70a523fada27b665b48328fceeb5137293,RAAZ-26-1001,BSC,60921380,2026-08-12T18:09:00+05:30,0xa43c436cc26e51b716c182126279d81413cac1f6,0xff246f9db5babe918b67d3462fc2084f96492788,0.01,BNB,615,dust,0,False
0xeaa13aaacc17d9acff9794423d8ca6f6dc95aca0d7bc0a9757677b28396b887a,0xeaa13aaacc17d9acff9794423d8ca6f6dc95aca0d7bc0a9757677b28396b887a,RAAZ-26-1001,BSC,61086980,2026-08-18T12:09:00+05:30,0xa43c436cc26e51b716c182126279d81413cac1f6,0xff246f9db5babe918b67d3462fc2084f96492788,0.01,BNB,615,dust,0,False
0x2868e3bdbcffb1a43c68ff39354c5fedf5660b61e08f7d55f1a539391e077bb8,0x2868e3bdbcffb1a43c68ff39354c5fedf5660b61e08f7d55f1a539391e077bb8,RAAZ-26-1001,BSC,61097780,2026-08-18T21:09:00+05:30,0xa43c436cc26e51b716c182126279d81413cac1f6,0xff246f9db5babe918b67d3462fc2084f96492788,0.01,BNB,615,dust,0,False
0x15fd18a1cd96eefd8564d1d971b1508425869dc439edac5b4c5b54d5ce0f0489,0x15fd18a1cd96eefd8564d1d971b1508425869dc439edac5b4c5b54d5ce0f0489,RAAZ-26-1001,BSC,61112180,2026-08-19T09:09:00+05:30,0x5119bfc8cd5ca9518c992b112fb1c5adfb3bd6ef,0xff246f9db5babe918b67d3462fc2084f96492788,0.7542,BNB,46383,inbound,0,False
0x19785bd1aa29bdfafedde4e62b687b843b06923183f6bd0d302ad970e3deaaa9,0x19785bd1aa29bdfafedde4e62b687b843b06923183f6bd0d302ad970e3deaaa9,RAAZ-26-1001,BSC,61126580,2026-08-19T21:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.0845,BNB,5197,victim_payment,0,False
0x211e478d72cbff0a395baa1f6075c51e7076bf97f940c08d14ba59e7f954bf1f,0x211e478d72cbff0a395baa1f6075c51e7076bf97f940c08d14ba59e7f954bf1f,RAAZ-26-1001,BSC,61204580,2026-08-22T14:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.0944,BNB,5806,victim_payment,0,False
0x91bdfe41fa2f454ff7ccd634d820e9f579c26ca660b46a207222bc501e8f31b2,0x91bdfe41fa2f454ff7ccd634d820e9f579c26ca660b46a207222bc501e8f31b2,RAAZ-26-1001,BSC,61307780,2026-08-26T04:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.102,BNB,6273,victim_payment,0,False
0x8ebcebeae87b61048d366424d7e8f62ef452073a52c7520abd741b1c22cf98d2,0x8ebcebeae87b61048d366424d7e8f62ef452073a52c7520abd741b1c22cf98d2,RAAZ-26-1001,BSC,61334180,2026-08-27T02:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.1338,BNB,8229,victim_payment,0,False
0x0a4ee0332cd0a53884518db8453cbac0285eef8e0797a6127c6e8ff0ee8015a8,0x0a4ee0332cd0a53884518db8453cbac0285eef8e0797a6127c6e8ff0ee8015a8,RAAZ-26-1001,BSC,61436180,2026-08-30T15:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.1539,BNB,9465,victim_payment,0,False
0xf5e3a62864bf0311b53005c1e4f47f63f94a6791e74c0e472a8435e0e9c48913,0xf5e3a62864bf0311b53005c1e4f47f63f94a6791e74c0e472a8435e0e9c48913,RAAZ-26-1001,BSC,61542980,2026-09-03T08:09:00+05:30,0xaf1961ed2c9ce87c0baa5287078f431b2c4052c9,0xff246f9db5babe918b67d3462fc2084f96492788,0.3323,BNB,20436,victim_payment,0,False
